brand,description,category,price,image_url,product_url
JUNITOS,"Girls Lehenga, Choli & Dupatta",lehnga,Rs. 1595Rs. 2279(30% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JULY/21/AExxtfXj_1fd4211cb28b4ffd9d2d123567e71cb0.jpg",https://www.myntra.comhttps://www.myntra.com/lehenga-choli/junitos/junitos-girls-printed-cotton-ready-to-wear-lehenga--blouse-with-dupatta/35849063/buy
LilPicks,Girls Lehenga Choli,lehnga,Rs. 1469Rs. 3499(58% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24761286/2023/9/1/5f45556a-c575-4e62-bc77-24ce7e69dc041693542987961StylishEmbossedFlaredLehengaCholiSet1.jpg",https://www.myntra.comhttps://www.myntra.com/lehenga-choli/lilpicks/lilpicks-girls-embellished-ready-to-wear-lehenga-choli/24761286/buy
BownBee,Ready to Wear Lehenga,lehnga,Rs. 799Rs. 1599(50% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16577570/2021/12/21/40bb7056-2f9a-4cda-be37-edbef38aaf431640096183306BownBeeGirlsBlue1.jpg",https://www.myntra.comhttps://www.myntra.com/lehenga-choli/bownbee/bownbee-girls-blue--white-ready-to-wear-lehenga--choli-/16577570/buy
Aj DEZInES,Girls Georgette Lehenga Choli,lehnga,Rs. 1749Rs. 3499(50% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24919110/2024/10/16/ed8b51ba-3e92-47b6-94c6-2d674c5763ab1729063195117-Aj-DEZInES-Girls-Ethnic-Motifs-Embroidered-Pure-Georgette-Re-1.jpg",https://www.myntra.comhttps://www.myntra.com/lehenga-choli/aj+dezines/aj-dezines-girls-ethnic-motifs-embroidered-pure-georgette-ready-to-wear-lehenga-choli/24919110/buy
NKV,Girls Lehenga Choli,lehnga,Rs. 1119Rs. 7999(86% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/FEBRUARY/10/TUpHGmUC_72c6d14ac58e4f0daf724eb8f1af2f23.jpg",https://www.myntra.comhttps://www.myntra.com/lehenga-choli/nkv/nkv-girls-printed-mirror-work-sweetheart-neck-art-silk-lehenga-with-blouse-and-dupatta/32718694/buy
VASTRAMAY,Girls Lehenga Choli,lehnga,Rs. 1439Rs. 3999(64% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28191812/2024/3/12/25f90738-327f-4722-8f02-c75856e217471710181854080VastramayGirlsRedAndCreamPatolaPrintedReadyToWearLehengaSet1.jpg",https://www.myntra.comhttps://www.myntra.com/lehenga-choli/vastramay/vastramay-girls-embroidered-sequinned-ready-to-wear-lehenga--choli/28191812/buy
Aj DEZInES,Lehenga & Blouse With Dupatta,lehnga,Rs. 1504Rs. 3499(57% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25206286/2024/9/5/057e465c-456e-453f-ab44-376c641342581725511837836-Aj-DEZInES-Girls-Woven-Design-Ready-to-Wear-Lehenga--Blouse--1.jpg",https://www.myntra.comhttps://www.myntra.com/lehenga-choli/aj+dezines/aj-dezines-girls-woven-design-ready-to-wear-lehenga--blouse-with-dupatta/25206286/buy
Helene,Ready to Wear Lehenga,lehnga,Rs. 1249Rs. 2499(50% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JULY/19/lFAGMq5y_6fbc3a9a3f8041c49d24867cb0773300.jpg",https://www.myntra.comhttps://www.myntra.com/lehenga-choli/helene/helene-girls-embroidered-thread-work-ready-to-wear-lehenga-/35836323/buy
BAESD,Ready to Wear Lehenga Set,lehnga,Rs. 1424Rs. 1499(5% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/26875376/2024/1/10/48037081-5ce8-4b8a-b584-32890478b73b1704870740257-BAESD-Girls-Black-Embroidered-Mirror-Work-Ready-to-Wear-Lehe-1.jpg",https://www.myntra.comhttps://www.myntra.com/lehenga-choli/baesd/baesd-girls-embroidered-mirror-work-ready-to-wear-lehenga--choli/26875376/buy
JUNITOS,Ready to Wear Lehenga Choli,lehnga,Rs. 1449Rs. 2499(42% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/AUGUST/2/l2YuDK6u_dca7e6ac6cc347aa9f6b61b7d209c967.jpg",https://www.myntra.comhttps://www.myntra.com/lehenga-choli/junitos/junitos-girls-floral-printed-ready-to-wear-cotton-lehenga--blouse-with-dupatta/30444497/buy
