brand,description,category,price,image_url,product_url
Bewakoof,Women Oversized T-shirt,women-tshirt,Rs. 549Rs. 1499(Rs. 950 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30856154/2025/1/4/0e1e012c-5aa5-41bb-bdb8-ed4d332473f41735973966849-Bewakoof-Women-Graphic-Printed-Round-Neck-Cotton-Oversized-T-1.jpg",https://www.myntra.comhttps://www.myntra.com/tshirts/bewakoof/bewakoof-women-graphic-printed-round-neck-cotton-oversized-t-shirt/30856154/buy
MORSE CODE,Printed Pure Cotton T-shirt,women-tshirt,Rs. 345Rs. 1499(Rs. 1154 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JULY/4/DNGiXDZQ_74f0deedfbbc40f1a0d999f31b1a3a17.jpg",https://www.myntra.comhttps://www.myntra.com/tshirts/morse+code/morse-code-printed-pure-cotton-round-neck-oversized-t-shirt/35409370/buy
United Colors of Benetton,Women Relaxed Fit T-shirt,women-tshirt,Rs. 1624Rs. 2499(35% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MAY/20/UqQBKQHJ_5356662f6ce149c89c269a25044b4bf9.jpg",https://www.myntra.comhttps://www.myntra.com/tshirts/united+colors+of+benetton/united-colors-of-benetton-women-relaxed-fit-pure-cotton-pocket-t-shirt/34379655/buy
Technosport,Antimicrobial Slim Fit T-shirt,women-tshirt,Rs. 245Rs. 289(15% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24090506/2023/7/19/14a51644-c750-4cb6-8ca0-535595d895281689761564306TechnosportMenSeaGreenV-NeckAntimicrobialPocketsSlimFitT-shi1.jpg",https://www.myntra.comhttps://www.myntra.com/tshirts/technosport/technosport-colourblocked-round-neck-antimicrobial-slim-fit-t-shirt/24090506/buy
CLAFOUTIS,Colourblocked Polo T-shirt,women-tshirt,Rs. 559Rs. 2499(Rs. 1940 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JULY/26/hkpXKsjn_bc946f396edb41f293833d391e6da3cf.jpg",https://www.myntra.comhttps://www.myntra.com/tshirts/clafoutis/clafoutis-colourblocked-polo-collar-relaxed-fit-t-shirt/36026133/buy
Bewakoof,Printed Oversized T-Shirt,women-tshirt,Rs. 639Rs. 1349(Rs. 710 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23370004/2024/3/7/5349b751-aec0-4606-86f6-1160d7ba52121709804544749BewakoofxOFFICIALGARFIELDMERCHANDISELazyGarfieldGraphicPrint1.jpg",https://www.myntra.comhttps://www.myntra.com/tshirts/bewakoof/bewakoof-x-official-garfield-merchandise-lazy-garfield-graphic-printed-oversized-t-shirt/23370004/buy
CULT,Teal Yoga Harmony Boxy T-shirt,women-tshirt,Rs. 599Rs. 1199(50% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/33938678/2025/5/7/419545c6-c627-4374-89c9-ee3707d5d2a31746595391625-CULT-Women-Teal-Yoga-Harmony-Graphic-Printed-Cotton-Boxy-T-s-1.jpg",https://www.myntra.comhttps://www.myntra.com/tshirts/cult/cult-women-teal-yoga-harmony-graphic-t-shirt/33938678/buy
HRX by Hrithik Roshan,Women Solid Slim Fit T-shirt,women-tshirt,Rs. 494Rs. 1099(55% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MARCH/26/xriGm269_ac59f8e44c2146efa5b49429fc36486e.jpg",https://www.myntra.comhttps://www.myntra.com/tshirts/hrx+by+hrithik+roshan/hrx-by-hrithik-roshan-women-rapid-dry-solid-high-neck-slim-fit-t-shirt/33345820/buy
DressBerry,Women Solid Cotton T-shirt,women-tshirt,Rs. 795,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MAY/30/SeQhi7Fr_91463a05d3d14d81b36e8aabe22e49b0.jpg",https://www.myntra.comhttps://www.myntra.com/tshirts/dressberry/dressberry-women-bio-finish-solid-round-neck-cotton-slim-fit-t-shirt/34670603/buy
Moda Rapido,Bio Finish Printed T-shirt,women-tshirt,Rs. 599,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MARCH/8/omCsMHmj_b9ef1eee831c44e78f0a0034356c6a48.jpg",https://www.myntra.comhttps://www.myntra.com/tshirts/moda+rapido/moda-rapido-women-typography-cotton-bio-finish-printed-t-shirt/33104080/buy
